,Ngày,Tổng,,,Regular,,,,,Exceptional,,,,Xuất bản,,,Phát sinh,
,,,Ship cho đại lý,VAT,Helper,Vật liệu gói,Đồ dùng office,Chi phí đi lại/ăn uống,Đặt sách,Project,Vận chuyển,Website,Công việc,Phí XB,In,Dịch,phí hoàn sách,Văn phòng
5 ₫,mua nước/gói hàng,,,,,,,"40,000 ₫",,,,,,,,,,
5 ₫,ship DT,,"21,000 ₫",,,,,,,,,,,,,,,
5 ₫,thuê đóng hàng,,,,"400,000 ₫",,,,,,,,,,,,,
,Ship ĐT,,"29,000 ₫",,,,,,,,,,,,,,,
,SHIP HÔP,,"43,000 ₫",,,,,,,,,,,,,,,
,SHIP đt,,"30,000 ₫",,,,,,,,,,,,,,,
5/6,ship DĐt,,"25,000 ₫",,,,,,,,,,,,,,,
5/6,đt,,,,,,,,,,,,,,,,,
,coffee,,,,,,,"65,000 ₫",,,,,,,,,,
6/6,Ship Đt,,"25,000 ₫",,,,,,,,,,,,,,,
6/6,Ship Đt,,,,,,,,,,,,,,,,,
8/6,Ship Đt,,"41,000 ₫",,,,,,,,,,,,,,,
,Ship Đt,,"13,000 ₫",,,,,,,,,,,,,,,
,Ship Đt,,"30,000 ₫",,,,,,,,,,,,,,,
,Ship Đt,,"46,000 ₫",,,,,,,,,,,,,,,
,Ship Đt,,"20,000 ₫",,,,,,,,,,,,,,,
,Ship Đt,,"15,000 ₫",,,,,,,,,,,,,,,
,đầu lọc thẻ,,,,,,"128,000 ₫",,,,,,,,,,,
,ship ĐT,,"28,000 ₫",,,,,,,,,,,,,,,
,phí BSMS,,,"77,770 ₫",,,,,,,,,,,,,,
,túi nilong gửi hàng,,,,,"50,000 ₫",,,,,,,,,,,,
,ship Đt,,"28,000 ₫",,,,,,,,,,,,,,,
,ship Đt,,"30,000 ₫",,,,,,,,,,,,,,,
,ship Đt,,"19,000 ₫",,,,,,,,,,,,,,,
,phí thẻ,,,"66,000 ₫",,,,,,,,,,,,,,
,ship Đt,,"30,000 ₫",,,,,,,,,,,,,,,
,ship Đt,,"24,000 ₫",,,,,,,,,,,,,,,
,thuế tháng 5,,,"231,791 ₫",,,,,,,,,,,,,,
,thuế phạt,,,"9,450,000 ₫",,,,,,,,,,,,,,
,ship Đt,,"30,000 ₫",,,,,,,,,,,,,,,
,ship Đt,,"30,000 ₫",,,,,,,,,,,,,,,
,ship Đt,,"24,000 ₫",,,,,,,,,,,,,,,
,hộp mực máy in,,,,,,"150,000 ₫",,,,,,,,,,,
,mua sách,,,,,,,,"64,000 ₫",,,,,,,,,
22/6,ship Đt,,"24,000 ₫",,,,,,,,,,,,,,,
23/6,ship Đt,,"26,000 ₫",,,,,,,,,,,,,,,
,ship Đt,,"42,000 ₫",,,,,,,,,,,,,,,
,ship Đt,,"23,000 ₫",,,,,,,,,,,,,,,
,ship Đt,,"28,000 ₫",,,,,,,,,,,,,,,
26/6,ship Đt,,"27,000 ₫",,,,,,,,,,,,,,,
29/6,ship Đt,,"24,000 ₫",,,,,,,,,,,,,,,
,ăn trưa,,,,,,,"45,000 ₫",,,,,,,,,,
,ship Đt,,"22,000 ₫",,,,,,,,,,,,,,,
,ship Đt,,"36,000 ₫",,,,,,,,,,,,,,,
,ship ĐT,,"15,000 ₫",,,,,,,,,,,,,,,
,ship ĐT,,"24,000 ₫",,,,,,,,,,,,,,,
,ship ĐT,,"17,000 ₫",,,,,,,,,,,,,,,
,ship ĐT,,"15,000 ₫",,,,,,,,,,,,,,,
,SHIP sách nhà in,,"51,000 ₫",,,,,,,,,,,,,,,
,ship ĐT,,"27,000 ₫",,,,,,,,,,,,,,,
,ship ĐT,,"38,000 ₫",,,,,,,,,,,,,,,
,mua sách,,,,,,,,"54,000 ₫",,,,,,,,,
,ship ĐT,,"25,000 ₫",,,,,,,,,,,,,,,
,phí bsms,,,"70,840 ₫",,,,,,,,,,,,,,
,ship ĐT,,"26,000 ₫",,,,,,,,,,,,,,,
,ship PLHT,,"19,000 ₫",,,,,,,,,,,,,,,
,ship ĐT,,"34,000 ₫",,,,,,,,,,,,,,,
,ship ĐT,,"36,000 ₫",,,,,,,,,,,,,,,
,ship ĐT,,"18,000 ₫",,,,,,,,,,,,,,,
,ship ĐT,,"20,000 ₫",,,,,,,,,,,,,,,
,ship ĐT,,"30,000 ₫",,,,,,,,,,,,,,,
